page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
8,2,Sada Baby,Brolik,Rap,Sheldon Pearce,January 28 2020,No,https://media.pitchfork.com/photos/5e1cf05b3c76950008338039/1:1/w_160/brolik.jpg,/reviews/albums/sada-baby-brolik/
8,3,Eminem,Music to Be Murdered By,Rap,Paul A. Thompson,January 25 2020,No,https://media.pitchfork.com/photos/5e273d36d7f8cd0008150f58/1:1/w_160/eminem_music.jpg,/reviews/albums/eminem-music-to-be-murdered-by/
8,4,Stunna 4 Vegas,RICH YOUNGIN,Rap,Alphonse Pierre,January 24 2020,No,https://media.pitchfork.com/photos/5e2740a2d1c15700099572ca/1:1/w_160/stunna4vegas.jpg,/reviews/albums/stunna-4-vegas-rich-youngin/
8,5,070 Shake,Modus Vivendi,Rap,Reed Jackson,January 21 2020,No,https://media.pitchfork.com/photos/5e1f5d463c769500083382ca/1:1/w_160/modusvivendi.jpg,/reviews/albums/070-shake-modus-vivendi/
8,6,Madlib,The Professionals,Rap,Phillip Mlynar,January 21 2020,No,https://media.pitchfork.com/photos/5e1f3fe655a3b30008afb219/1:1/w_160/theprofessionals.jpg,/reviews/albums/madlib-oh-no-the-professionals/
8,7,Max B,Coke Wave,Pop/R&B,Alphonse Pierre,January 19 2020,No,https://media.pitchfork.com/photos/5e18f622c3431b000823bde4/1:1/w_160/cokewave.jpg,/reviews/albums/max-b-french-montana-coke-wave/
8,8,Mac Miller,Circles,Rap,Sheldon Pearce,January 17 2020,No,https://media.pitchfork.com/photos/5e1cf1ac3c7695000833803c/1:1/w_160/circles.jpeg,/reviews/albums/mac-miller-circles/
8,9,CamÃƒÂ¢Ã‚â‚¬Ã‚â„¢ron,Purple Haze 2,Rap,Dean Van Nguyen,January 16 2020,No,https://media.pitchfork.com/photos/5e1797803c76950008337e35/1:1/w_160/camron_purplehaze.jpg,/reviews/albums/camron-purple-haze-2/
8,10,Mick Jenkins,The Circus EP,Rap,Dean Van Nguyen,January 16 2020,No,https://media.pitchfork.com/photos/5e0ed484f3d2500009bb071b/1:1/w_160/TheCircus.jpeg,/reviews/albums/mick-jenkins-the-circus-ep/
8,11,Chynna,in case i die first,Rap,Veracia Ankrah,January 16 2020,No,https://media.pitchfork.com/photos/5e1769a4a676f50008a7f2f6/1:1/w_160/incaseidiefirst.jpg,/reviews/albums/chynna-in-case-i-die-first/
8,12,Kanye West,Jesus Is Born,Rap,Shane Cashman,January 8 2020,No,https://media.pitchfork.com/photos/5e138404548e8a000826b586/1:1/w_160/sundayservice.jpeg,/reviews/albums/kanye-west-sunday-service-choir-jesus-is-born/
9,1,Travis Scott,JACKBOYS,Rap,Sheldon Pearce,January 6 2020,No,https://media.pitchfork.com/photos/5e0f6f452ff48f0008f567cb/1:1/w_160/jackboys_travis.jpg,/reviews/albums/travis-scott-jackboys/
9,2,Dai Burger,Bite the Burger,Rap,Reed Jackson,January 3 2020,No,https://media.pitchfork.com/photos/5dfbe5a7b7c76f0009ccaed1/1:1/w_160/bitetheburger.jpg,/reviews/albums/dai-burger-bite-the-burger/
9,3,French Montana,MONTANA,Rap,Pete Tosiello,December 19 2019,No,https://media.pitchfork.com/photos/5df7a2e43c96ed00084bea02/1:1/w_160/frenchmontana.jpg,/reviews/albums/french-montana-montana/
9,4,Stormzy,Heavy Is the Head,Rap,Will Pritchard,December 18 2019,No,https://media.pitchfork.com/photos/5df7a0ab86d8e9000899403d/1:1/w_160/stormzyheavy.jpg,/reviews/albums/stormzy-heavy-is-the-head/
9,5,Knxwledge,WT_PRT15.,Rap,Reed Jackson,December 17 2019,No,https://media.pitchfork.com/photos/5df7f848b7c76f0009ccac93/1:1/w_160/wtprt15.jpg,/reviews/albums/knxwledge-wt-prt15/
9,6,Dr. Dre,The Chronic,Rap,Sheldon Pearce,December 15 2019,No,https://media.pitchfork.com/photos/5dee9d8bc573b80009766dc2/1:1/w_160/thechronic.jpg,/reviews/albums/dr-dre-the-chronic/
9,7,XXXTentacion,Bad Vibes Forever,Rap,Stephen Kearse,December 14 2019,No,https://media.pitchfork.com/photos/5dee70c729131e0008fba754/1:1/w_160/badvibesforever.jpg,/reviews/albums/xxxtentacion-bad-vibes-forever/
9,8,Jme,Grime MC,Rap,Matthew Ismael Ruiz,December 13 2019,No,https://media.pitchfork.com/photos/5df01db929131e0008fba932/1:1/w_160/jme.jpg,/reviews/albums/jme-grime-mc/
9,9,Roddy Ricch,Please Excuse Me For Being Antisocial,Rap,Alphonse Pierre,December 12 2019,No,https://media.pitchfork.com/photos/5df01a9129131e0008fba8fc/1:1/w_160/antisocial.jpg,/reviews/albums/roddy-ricch-please-excuse-me-for-being-antisocial/
9,10,YNW Melly,Melly vs. Melvin,Rap,Evan Rytlewski,December 10 2019,No,https://media.pitchfork.com/photos/5dee73e9b91d230008bf341f/1:1/w_160/melly.jpg,/reviews/albums/ynw-melly-melly-vs-melvin/
